ID,Kategori,Sub_Kategori,Tahap,Soalan,Pilihan_A,Pilihan_B,Pilihan_C,Pilihan_D,Penerangan
11,Malaysia,Wilayah,MUDAH,"Manakah antara berikut BUKAN sebuah Wilayah Persekutuan?","Melaka","Kuala Lumpur","Labuan","Putrajaya","Melaka adalah sebuah negeri bersejarah, manakala Kuala Lumpur, Labuan, dan Putrajaya adalah Wilayah Persekutuan."
12,Malaysia,Ciri Fizikal,MUDAH,"Apakah gunung tertinggi di Malaysia?","Gunung Kinabalu","Gunung Tahan","Gunung Korbu","Gunung Ledang","Gunung Kinabalu yang terletak di Sabah adalah gunung tertinggi di Malaysia dan juga di Asia Tenggara."
13,Malaysia,Ciri Fizikal,MUDAH,"Sungai terpanjang di Semenanjung Malaysia ialah...","Sungai Pahang","Sungai Perak","Sungai Kelantan","Sungai Muda","Sungai Pahang adalah sungai terpanjang di Semenanjung Malaysia dengan panjang melebihi 400 km."
14,Malaysia,Pembahagian Sejarah,MUDAH,"Negeri-negeri Selat terdiri daripada Pulau Pinang, Melaka dan...?","Singapura","Perak","Selangor","Pahang","Negeri-negeri Selat (Straits Settlements) adalah gabungan tiga jajahan British iaitu Pulau Pinang, Melaka, dan Singapura."
15,Malaysia,Sistem Monarki,MUDAH,"Ketua negara bagi Malaysia ialah...","Yang di-Pertuan Agong","Perdana Menteri","Sultan","Raja","Yang di-Pertuan Agong adalah ketua negara Malaysia yang dipilih dalam kalangan sembilan Raja-raja Melayu."
16,Malaysia,Sistem Monarki,MUDAH,"Apakah gelaran bagi ketua negeri Perlis?","Raja","Sultan","Yang di-Pertuan Besar","Yang di-Pertua Negeri","Perlis adalah satu-satunya negeri di Malaysia yang menggunakan gelaran 'Raja' untuk pemerintahnya."
17,Malaysia,Kepimpinan Kerajaan,MUDAH,"Siapakah yang digelar sebagai 'Bapa Pemodenan Malaysia'?","Tun Dr. Mahathir Mohamad","Tunku Abdul Rahman","Tun Abdul Razak Hussein","Tun Abdullah Ahmad Badawi","Tun Dr. Mahathir Mohamad digelar Bapa Pemodenan kerana usahanya dalam memajukan Malaysia melalui pelbagai projek mega."
18,Malaysia,Simbol Rasmi,SEDERHANA,"Siapakah pereka bendera Malaysia, Jalur Gemilang?","Mohamed bin Hamzah","Saiful Bahari","Hisham Albakri","Abdullah Ariff","Mohamed bin Hamzah, seorang arkitek dari Johor, telah memenangi pertandingan mereka cipta bendera Persekutuan Tanah Melayu pada tahun 1949."
19,Malaysia,Simbol Rasmi,SEDERHANA,"Lima bilah keris pada Jata Negara melambangkan...","Negeri-negeri Melayu Tidak Bersekutu","Negeri-negeri Melayu Bersekutu","Negeri-negeri Selat","Negeri Borneo","Lima bilah keris itu mewakili lima buah Negeri-negeri Melayu Tidak Bersekutu iaitu Johor, Kedah, Perlis, Kelantan, dan Terengganu."
20,Malaysia,Asas Negara,SEDERHANA,"Pada tahun berapakah Rukun Negara diisytiharkan?","1970","1969","1957","1963","Rukun Negara telah diisytiharkan pada 31 Ogos 1970 oleh Yang di-Pertuan Agong keempat, berikutan peristiwa 13 Mei 1969."
21,Malaysia,Asas Negara,SEDERHANA,"Prinsip Rukun Negara 'Keluhuran Perlembagaan' bermaksud...","Setiap warganegara perlu menghormati dan mematuhi Perlembagaan","Rakyat bebas melakukan apa sahaja","Hanya Raja yang perlu patuh pada Perlembagaan","Perlembagaan boleh diubah sesuka hati","Keluhuran Perlembagaan menekankan bahawa Perlembagaan adalah undang-undang tertinggi negara yang wajib dipatuhi oleh semua."
22,Malaysia,Kepimpinan Kerajaan,SEDERHANA,"Apakah nama penuh bagi Perdana Menteri Malaysia yang kedua?","Tun Abdul Razak bin Hussein","Tun Hussein bin Onn","Tun Abdullah bin Ahmad Badawi","Tun Dr. Mahathir bin Mohamad","Tun Abdul Razak bin Hussein, yang dikenali sebagai Bapa Pembangunan, adalah Perdana Menteri Malaysia yang kedua."
23,Malaysia,Pentadbiran Negeri,SEDERHANA,"Sebelum Shah Alam, apakah ibu negeri bagi Selangor?","Kuala Lumpur","Klang","Kajang","Rawang","Kuala Lumpur adalah ibu negeri Selangor sebelum ia diserahkan kepada Kerajaan Persekutuan untuk menjadi Wilayah Persekutuan pada 1974."
24,Malaysia,Pentadbiran Negeri,SEDERHANA,"Pekan adalah Bandar Diraja bagi negeri...","Pahang","Terengganu","Kelantan","Johor","Pekan merupakan Bandar Diraja bagi negeri Pahang, tempat terletaknya istana rasmi Sultan Pahang."
25,Malaysia,Wilayah,SEDERHANA,"Bilakah Pulau Pinang, Sabah dan Sarawak menyertai Persekutuan Tanah Melayu untuk membentuk Malaysia?","1963","1957","1965","1971","Malaysia dibentuk pada 16 September 1963 melalui penyertaan Persekutuan Tanah Melayu, Singapura, Borneo Utara (Sabah) dan Sarawak."
26,Malaysia,Wilayah,SEDERHANA,"Apakah nama asal bagi Wilayah Persekutuan Labuan?","Pulau Victoria","Pulau Papan","Pulau Kuraman","Pulau Burung","Nama asal Labuan ialah Pulau Victoria, yang diberikan oleh pihak British semasa zaman penjajahan."
27,Malaysia,Ciri Fizikal,SEDERHANA,"Tasik Chini, sebuah tasik air tawar semula jadi yang terkenal dengan lagenda naga, terletak di negeri mana?","Pahang","Terengganu","Perak","Kelantan","Tasik Chini adalah tasik air tawar kedua terbesar di Malaysia dan terletak di daerah Pekan, Pahang."
28,Malaysia,Ciri Fizikal,SEDERHANA,"Apakah nama banjaran gunung yang menjadi 'tulang belakang' Semenanjung Malaysia?","Banjaran Titiwangsa","Banjaran Crocker","Banjaran Bintang","Banjaran Keledang","Banjaran Titiwangsa terbentang dari utara ke selatan Semenanjung Malaysia dan menjadi legeh utama."
29,Malaysia,Pembahagian Sejarah,SEDERHANA,"Manakah antara berikut merupakan Negeri-negeri Melayu Bersekutu?","Perak, Selangor, Negeri Sembilan, Pahang","Johor, Kedah, Kelantan, Terengganu, Perlis","Pulau Pinang, Melaka, Singapura","Sabah, Sarawak","Negeri-negeri Melayu Bersekutu (Federated Malay States) ditubuhkan oleh British pada tahun 1896."
30,Malaysia,Pembahagian Sejarah,SEDERHANA,"Apakah ibu negeri bagi Negeri-negeri Melayu Bersekutu?","Kuala Lumpur","Taiping","Klang","Seremban","Kuala Lumpur dipilih sebagai pusat pentadbiran atau ibu negeri bagi Negeri-negeri Melayu Bersekutu."
31,Malaysia,Sistem Monarki,SEDERHANA,"Berapa lamakah tempoh pemerintahan bagi seorang Yang di-Pertuan Agong?","5 tahun","10 tahun","Seumur hidup","4 tahun","Setiap Yang di-Pertuan Agong memegang jawatan untuk tempoh lima tahun secara bergilir-gilir."
32,Malaysia,Sistem Monarki,SEDERHANA,"Negeri manakah yang mengamalkan sistem pemerintahan beraja yang unik di mana pemerintahnya dipilih?","Negeri Sembilan","Perlis","Kedah","Kelantan","Negeri Sembilan mengamalkan sistem Adat Perpatih di mana Yang di-Pertuan Besar dipilih oleh Undang Yang Empat."
33,Malaysia,Kepimpinan Kerajaan,SEDERHANA,"Dasar Ekonomi Baru (DEB) telah diperkenalkan oleh Perdana Menteri Malaysia yang ke berapa?","Kedua","Pertama","Ketiga","Keempat","Dasar Ekonomi Baru (DEB) telah dilancarkan pada tahun 1971 oleh Tun Abdul Razak Hussein untuk membasmi kemiskinan dan menyusun semula masyarakat."
34,Malaysia,Pentadbiran Negeri,SEDERHANA,"Seri Menanti adalah Bandar Diraja bagi negeri...","Negeri Sembilan","Pahang","Perak","Selangor","Seri Menanti adalah Bandar Diraja bagi Negeri Sembilan dan menempatkan Istana Besar Seri Menanti."
35,Malaysia,Simbol Rasmi,SUKAR,"Warna kuning pada Jalur Gemilang melambangkan...","Kedaulatan Raja-raja Melayu","Kesucian dan keluhuran","Keberanian rakyat","Perpaduan kaum","Warna kuning adalah warna diraja dan ia melambangkan kedaulatan serta kebesaran Raja-raja Melayu."
36,Malaysia,Simbol Rasmi,SUKAR,"Cogan kata 'Bersekutu Bertambah Mutu' pada Jata Negara ditulis dalam tulisan Rumi dan...?","Jawi","Sanskrit","Pallava","Kawi","Cogan kata pada Jata Negara ditulis dalam tulisan Rumi di sebelah kiri dan tulisan Jawi di sebelah kanan."
37,Malaysia,Asas Negara,SUKAR,"Peristiwa darurat yang membawa kepada pengisytiharan Rukun Negara dikenali sebagai...","Peristiwa 13 Mei 1969","Konfrontasi Indonesia-Malaysia","Darurat Tanah Melayu 1948","Perang Dunia Kedua","Rukun Negara dibentuk sebagai satu ideologi kebangsaan untuk menyatukan semula rakyat selepas berlakunya rusuhan kaum pada 13 Mei 1969."
38,Malaysia,Kepimpinan Kerajaan,SUKAR,"Wawasan 2020, sebuah gagasan untuk menjadikan Malaysia negara maju, telah dilancarkan oleh...","Tun Dr. Mahathir Mohamad","Tun Abdullah Ahmad Badawi","Dato' Sri Najib Tun Razak","Tunku Abdul Rahman","Wawasan 2020 telah diperkenalkan oleh Tun Dr. Mahathir Mohamad pada tahun 1991 semasa beliau menjadi Perdana Menteri keempat."
39,Malaysia,Pentadbiran Negeri,SUKAR,"Apakah nama lama bagi ibu negeri Sabah, Kota Kinabalu?","Jesselton","Elopura","Fort Margherita","Port Weld","Kota Kinabalu dahulunya dikenali sebagai Jesselton, sempena nama seorang pegawai Syarikat Borneo Utara British."
40,Malaysia,Pentadbiran Negeri,SUKAR,"Ibu negeri Sarawak, Kuching, mendapat namanya daripada sejenis buah. Apakah nama lain bagi bandar ini?","Bandaraya Perpaduan","Bandaraya Kucing","Bandaraya Kenyalang","Bandaraya Bersejarah","Kuching digelar 'Bandaraya Perpaduan' kerana keharmonian masyarakat berbilang kaum yang tinggal di sana."
41,Malaysia,Wilayah,SUKAR,"Singapura telah keluar daripada Persekutuan Malaysia pada tahun...","1965","1963","1969","1957","Singapura menjadi sebahagian daripada Malaysia pada tahun 1963 tetapi telah keluar daripada persekutuan pada 9 Ogos 1965."
42,Malaysia,Wilayah,SUKAR,"Putrajaya, pusat pentadbiran Kerajaan Persekutuan, dahulunya dikenali sebagai...","Prang Besar","Sungai Besi","Jenderam Hilir","Dengkil","Kawasan Putrajaya pada asalnya adalah sebuah ladang kelapa sawit dan getah yang dikenali sebagai Prang Besar di Selangor."
43,Malaysia,Ciri Fizikal,SUKAR,"Gua Niah di Sarawak terkenal kerana penemuan arkeologi penting. Apakah penemuan tersebut?","Tengkorak manusia tertua di Asia Tenggara","Lukisan gua purba","Alat-alat batu zaman Neolitik","Fosil dinosaur","Pada tahun 1958, ahli arkeologi menemui 'Deep Skull' di Gua Niah, yang merupakan bukti kewujudan manusia moden tertua di Asia Tenggara."
44,Malaysia,Ciri Fizikal,SUKAR,"Apakah nama selat yang memisahkan Semenanjung Malaysia dengan Pulau Sumatera, Indonesia?","Selat Melaka","Selat Tebrau","Selat Singapura","Selat Sunda","Selat Melaka adalah laluan perkapalan terpenting di dunia yang terletak di antara Semenanjung Malaysia dan Pulau Sumatera."
45,Malaysia,Pembahagian Sejarah,SUKAR,"Sistem Residen British telah mula diperkenalkan di negeri Perak berikutan termeterainya perjanjian...","Perjanjian Pangkor 1874","Perjanjian Inggeris-Belanda 1824","Perjanjian Burney 1826","Perjanjian Bangkok 1909","Perjanjian Pangkor yang ditandatangani pada tahun 1874 telah membuka jalan kepada campur tangan British secara rasmi di negeri-negeri Melayu."
46,Malaysia,Sistem Monarki,SUKAR,"Siapakah Yang di-Pertuan Agong yang memerintah sebanyak dua kali?","Tuanku Abdul Halim Mu'adzam Shah","Tuanku Ja'afar","Tuanku Syed Putra Jamalullail","Tuanku Abdul Rahman","Almarhum Sultan Abdul Halim Mu'adzam Shah dari Kedah adalah satu-satunya Sultan yang telah berkhidmat sebagai Yang di-Pertuan Agong sebanyak dua kali."
47,Malaysia,Sistem Monarki,SUKAR,"Apakah gelaran bagi isteri kepada Yang di-Pertuan Agong?","Raja Permaisuri Agong","Sultanah","Tengku Ampuan","Che' Puan Besar","Gelaran rasmi bagi isteri Yang di-Pertuan Agong ialah Seri Paduka Baginda Raja Permaisuri Agong."
48,Malaysia,Kepimpinan Kerajaan,SUKAR,"Siapakah satu-satunya Perdana Menteri Malaysia yang merupakan anak kepada bekas Perdana Menteri?","Dato' Sri Najib Tun Razak","Tun Hussein Onn","Tun Dr. Mahathir Mohamad","Tan Sri Muhyiddin Yassin","Dato' Sri Najib Tun Razak (Perdana Menteri ke-6) adalah anak kepada Tun Abdul Razak Hussein (Perdana Menteri ke-2)."
49,Malaysia,Asas Negara,SUKAR,"Perlembagaan Malaysia adalah berdasarkan sebuah suruhanjaya yang dikenali sebagai...","Suruhanjaya Reid","Suruhanjaya Cobbold","Suruhanjaya MacMichael","Suruhanjaya Simon","Suruhanjaya Reid ditubuhkan pada tahun 1956 untuk merangka dan mencadangkan Perlembagaan Persekutuan Tanah Melayu."
50,Malaysia,Pembahagian Sejarah,SUKAR,"James Brooke menjadi pemerintah Sarawak dan digelar sebagai...","Rajah Putih","Gabenor","Residen","Pesuruhjaya Tinggi","James Brooke dan keturunannya memerintah Sarawak sebagai pemerintah persendirian dengan gelaran 'Rajah Putih' (White Rajah)."
51,Asia Tenggara,Ibu Negara & Bandar Utama,MUDAH,"Apakah ibu negara bagi Thailand?","Bangkok","Hanoi","Manila","Jakarta","Bangkok adalah ibu negara dan bandar terbesar di Thailand, terkenal dengan kuil-kuilnya yang indah."
52,Asia Tenggara,Ibu Negara & Bandar Utama,MUDAH,"Jakarta adalah ibu negara bagi negara...","Indonesia","Filipina","Vietnam","Myanmar","Jakarta, yang terletak di Pulau Jawa, merupakan pusat pentadbiran dan ekonomi bagi negara Indonesia."
53,Asia Tenggara,Geografi & Mercu Tanda,MUDAH,"Menara Berkembar Petronas yang pernah menjadi bangunan tertinggi di dunia terletak di negara mana?","Malaysia","Singapura","Thailand","Indonesia","Menara Berkembar Petronas terletak di Kuala Lumpur, Malaysia, dan menjadi ikon moden negara tersebut."
54,Asia Tenggara,Geografi & Mercu Tanda,MUDAH,"Patung Merlion yang terkenal adalah ikon bagi negara...","Singapura","Brunei","Vietnam","Laos","Patung Merlion, dengan kepala singa dan badan ikan, adalah simbol dan tarikan pelancong yang popular di Singapura."
55,Asia Tenggara,Sejarah & Kerajaan,MUDAH,"Negara manakah di Asia Tenggara yang tidak pernah dijajah oleh kuasa Eropah?","Thailand","Malaysia","Indonesia","Vietnam","Thailand adalah satu-satunya negara di Asia Tenggara yang berjaya mengekalkan kemerdekaannya daripada penjajahan kuasa Barat."
56,Asia Tenggara,Budaya & Tradisi,MUDAH,"Pakaian tradisional 'Ao Dai' berasal dari negara...","Vietnam","Thailand","Kemboja","Laos","Ao Dai adalah pakaian tradisional Vietnam yang anggun, biasanya dipakai oleh wanita semasa perayaan atau majlis rasmi."
57,Asia Tenggara,Ekonomi & Mata Wang,MUDAH,"Apakah nama mata wang bagi negara Malaysia?","Ringgit","Baht","Rupiah","Peso","Mata wang rasmi Malaysia ialah Ringgit (MYR), yang dibahagikan kepada 100 sen."
58,Asia Tenggara,Ekonomi & Mata Wang,MUDAH,"Rupiah adalah mata wang bagi negara...","Indonesia","Filipina","Brunei","Singapura","Rupiah (IDR) adalah unit mata wang rasmi yang digunakan di seluruh Indonesia."
59,Asia Tenggara,Sungai & Gunung,MUDAH,"Sungai Mekong, salah satu sungai terpanjang di dunia, mengalir melalui beberapa negara di Asia Tenggara. Manakah antara berikut BUKAN salah satunya?","Malaysia","Vietnam","Kemboja","Laos","Sungai Mekong tidak mengalir melalui Malaysia. Ia mengalir dari China melalui Myanmar, Laos, Thailand, Kemboja dan Vietnam."
60,Asia Tenggara,Pulau & Laut,MUDAH,"Pulau Bali yang terkenal sebagai destinasi pelancongan terletak di negara...","Indonesia","Filipina","Thailand","Malaysia","Pulau Bali, yang dikenali sebagai 'Pulau Dewata', adalah sebahagian daripada negara kepulauan Indonesia."
61,Asia Tenggara,Pulau & Laut,MUDAH,"Filipina adalah sebuah negara kepulauan. Apakah lautan yang terletak di sebelah timur negara ini?","Lautan Pasifik","Lautan Hindi","Lautan Atlantik","Lautan Artik","Filipina terletak di pinggir barat Lautan Pasifik, lautan yang terbesar dan terdalam di dunia."
62,Asia Tenggara,ASEAN,MUDAH,"Apakah singkatan bagi pertubuhan serantau yang dianggotai oleh negara-negara Asia Tenggara?","ASEAN","APEC","OPEC","UN","ASEAN (Association of Southeast Asian Nations) atau Persatuan Negara-negara Asia Tenggara ditubuhkan untuk menggalakkan kerjasama ekonomi dan politik."
63,Asia Tenggara,ASEAN,MUDAH,"Berapakah bilangan negara anggota ASEAN pada masa kini?","10","11","8","12","ASEAN dianggotai oleh 10 negara: Brunei, Kemboja, Indonesia, Laos, Malaysia, Myanmar, Filipina, Singapura, Thailand, dan Vietnam."
64,Asia Tenggara,Ibu Negara & Bandar Utama,MUDAH,"Hanoi adalah ibu negara bagi...","Vietnam","Laos","Kemboja","Myanmar","Hanoi merupakan ibu negara bagi Republik Sosialis Vietnam, manakala Bandar Ho Chi Minh adalah bandar terbesarnya."
65,Asia Tenggara,Geografi & Mercu Tanda,MUDAH,"Pagoda Shwedagon yang disaluti emas terletak di bandar mana?","Yangon, Myanmar","Bangkok, Thailand","Hanoi, Vietnam","Phnom Penh, Kemboja","Pagoda Shwedagon adalah sebuah stupa Buddha yang paling suci di Myanmar dan terletak di Yangon."
66,Asia Tenggara,Budaya & Tradisi,MUDAH,"Tarian 'Ramayana' yang menceritakan kisah epik Hindu sangat popular di negara...","Indonesia","Vietnam","Filipina","Singapura","Tarian Ramayana, terutamanya di Jawa dan Bali, Indonesia, adalah persembahan drama tari yang sangat popular."
67,Asia Tenggara,Sungai & Gunung,MUDAH,"Gunung berapi yang paling aktif di Filipina ialah...","Gunung Mayon","Gunung Pinatubo","Gunung Apo","Gunung Taal","Gunung Mayon terkenal dengan bentuk konnya yang hampir sempurna dan merupakan gunung berapi yang paling aktif di Filipina."
68,Asia Tenggara,Ibu Negara & Bandar Utama,SEDERHANA,"Apakah ibu negara bagi negara Laos?","Vientiane","Luang Prabang","Phnom Penh","Naypyidaw","Vientiane, yang terletak di lembah Sungai Mekong, adalah ibu negara dan bandar terbesar di Laos."
69,Asia Tenggara,Ibu Negara & Bandar Utama,SEDERHANA,"Naypyidaw menjadi ibu negara Myanmar pada tahun 2005, menggantikan bandar...","Yangon (Rangoon)","Mandalay","Bagan","Inle","Kerajaan Myanmar secara rasmi memindahkan ibu negaranya dari Yangon ke Naypyidaw pada tahun 2005."
70,Asia Tenggara,Geografi & Mercu Tanda,SEDERHANA,"Kompleks kuil Angkor Wat yang megah terletak di negara mana?","Kemboja","Laos","Myanmar","Thailand","Angkor Wat adalah sebuah kompleks kuil Hindu-Buddha yang sangat besar di Kemboja dan merupakan monumen keagamaan terbesar di dunia."
71,Asia Tenggara,Geografi & Mercu Tanda,SEDERHANA,"Tasik Tonlé Sap, tasik air tawar terbesar di Asia Tenggara, terletak di...","Kemboja","Vietnam","Laos","Thailand","Tasik Tonlé Sap di Kemboja mempunyai ekosistem yang unik kerana aliran airnya berubah arah dua kali setahun."
72,Asia Tenggara,Sejarah & Kerajaan,SEDERHANA,"Negara manakah di Asia Tenggara yang mengamalkan sistem pemerintahan monarki mutlak?","Brunei Darussalam","Thailand","Kemboja","Malaysia","Brunei Darussalam adalah salah satu daripada beberapa negara di dunia yang masih mengamalkan sistem pemerintahan beraja mutlak."
73,Asia Tenggara,Sejarah & Kerajaan,SEDERHANA,"Perang Vietnam berlaku antara Vietnam Utara dan Vietnam Selatan. Siapakah yang menyokong Vietnam Selatan?","Amerika Syarikat","China","Kesatuan Soviet","Korea Utara","Amerika Syarikat dan sekutunya campur tangan secara besar-besaran untuk menyokong rejim Vietnam Selatan menentang Vietnam Utara yang komunis."
74,Asia Tenggara,Budaya & Tradisi,SEDERHANA,"Pesta Songkran, iaitu perayaan tahun baru yang disambut dengan bermain air, diraikan di negara mana?","Thailand","Vietnam","Indonesia","Filipina","Songkran adalah perayaan Tahun Baru tradisional Thai yang disambut pada bulan April setiap tahun."
75,Asia Tenggara,Budaya & Tradisi,SEDERHANA,"Wayang Kulit adalah sejenis teater bayang-bayang tradisional yang popular di Malaysia dan...","Indonesia","Thailand","Vietnam","Singapura","Wayang Kulit sangat popular di Pulau Jawa dan Bali di Indonesia, dengan cerita yang kebanyakannya berdasarkan epik Hindu."
76,Asia Tenggara,Ekonomi & Mata Wang,SEDERHANA,"Apakah nama mata wang bagi negara Thailand?","Baht","Kyat","Dong","Kip","Mata wang rasmi Thailand ialah Baht (THB)."
77,Asia Tenggara,Ekonomi & Mata Wang,SEDERHANA,"Dolar Brunei mempunyai nilai yang sama dan boleh digunakan di negara...","Singapura","Malaysia","Indonesia","Filipina","Di bawah Perjanjian Kesalingbolehtukaran Mata Wang, Dolar Brunei dan Dolar Singapura boleh digunakan di kedua-dua negara."
78,Asia Tenggara,Sungai & Gunung,SEDERHANA,"Gunung Kinabalu adalah puncak tertinggi di Asia Tenggara. Di manakah ia terletak?","Pulau Borneo","Pulau Jawa","Pulau Sumatera","Pulau Luzon","Gunung Kinabalu terletak di negeri Sabah, Malaysia, di bahagian utara Pulau Borneo."
79,Asia Tenggara,Pulau & Laut,SEDERHANA,"Pulau Luzon, Visayas, dan Mindanao adalah tiga kumpulan pulau utama bagi negara...","Filipina","Indonesia","Malaysia","Thailand","Filipina secara geografi terbahagi kepada tiga kumpulan pulau utama: Luzon di utara, Visayas di tengah, dan Mindanao di selatan."
80,Asia Tenggara,ASEAN,SEDERHANA,"Sekretariat ASEAN terletak di bandar...","Jakarta","Bangkok","Kuala Lumpur","Singapura","Ibu pejabat dan sekretariat tetap ASEAN terletak di Jakarta, ibu negara Indonesia."
81,Asia Tenggara,ASEAN,SEDERHANA,"Apakah moto bagi ASEAN?","Satu Visi, Satu Identiti, Satu Komuniti","Keamanan, Kestabilan, Kemakmuran","Bersatu Teguh, Bercerai Roboh","Perpaduan dalam Kepelbagaian","Moto rasmi ASEAN ialah 'One Vision, One Identity, One Community' (Satu Visi, Satu Identiti, Satu Komuniti)."
82,Asia Tenggara,Sejarah & Kerajaan,SEDERHANA,"Timor-Leste (Timor Timur) mencapai kemerdekaan penuh pada tahun 2002 selepas berpisah dari...","Indonesia","Portugal","Australia","Malaysia","Timor-Leste telah dijajah oleh Portugal, kemudian diduduki oleh Indonesia sebelum mencapai kemerdekaan penuh."
83,Asia Tenggara,Geografi & Mercu Tanda,SEDERHANA,"Teluk Ha Long, sebuah Tapak Warisan Dunia UNESCO yang terkenal dengan ribuan pulau batu kapur, terletak di negara...","Vietnam","Thailand","Filipina","Indonesia","Teluk Ha Long di utara Vietnam terkenal dengan pemandangan lautnya yang menakjubkan."
84,Asia Tenggara,Ibu Negara & Bandar Utama,SUKAR,"Bandar Seri Begawan adalah ibu negara bagi...","Brunei Darussalam","Timor-Leste","Laos","Kemboja","Bandar Seri Begawan adalah ibu negara dan bandar diraja bagi negara Brunei Darussalam."
85,Asia Tenggara,Geografi & Mercu Tanda,SUKAR,"Candi Borobudur, kuil Buddha terbesar di dunia, terletak di Pulau Jawa, ...","Indonesia","Malaysia","Filipina","Singapura","Candi Borobudur yang dibina pada abad ke-9 terletak di Magelang, Jawa Tengah, Indonesia."
86,Asia Tenggara,Sejarah & Kerajaan,SUKAR,"Siapakah pemimpin Revolusi Kemerdekaan Vietnam menentang Perancis?","Ho Chi Minh","Pol Pot","Jeneral Suharto","Ferdinand Marcos","Ho Chi Minh adalah tokoh utama dalam perjuangan Vietnam untuk kemerdekaan daripada Perancis dan kemudiannya Amerika Syarikat."
87,Asia Tenggara,Sejarah & Kerajaan,SUKAR,"Rejim Khmer Rouge yang kejam pernah memerintah negara mana pada tahun 1970-an?","Kemboja","Laos","Vietnam","Myanmar","Rejim Khmer Rouge di bawah pimpinan Pol Pot bertanggungjawab atas kematian berjuta-juta rakyat Kemboja antara tahun 1975 dan 1979."
88,Asia Tenggara,Budaya & Tradisi,SUKAR,"Sukan 'Sepak Takraw' yang popular di rantau ini menggunakan bola yang diperbuat daripada...?","Rotan","Getah","Plastik","Kulit","Bola takraw secara tradisionalnya ditenun daripada rotan, walaupun bola sintetik kini lebih biasa digunakan."
89,Asia Tenggara,Ekonomi & Mata Wang,SUKAR,"Apakah nama mata wang bagi negara Vietnam?","Dong","Kip","Riel","Kyat","Mata wang rasmi Vietnam ialah Dong (VND)."
90,Asia Tenggara,Ekonomi & Mata Wang,SUKAR,"Segi Tiga Pertumbuhan Indonesia-Malaysia-Thailand (IMT-GT) bertujuan untuk membangunkan ekonomi di kawasan...","Utara Semenanjung Malaysia, Selatan Thailand, dan Sumatera","Selatan Semenanjung Malaysia, Singapura, dan Kepulauan Riau","Seluruh Malaysia, Indonesia, dan Thailand","Kuala Lumpur, Jakarta, dan Bangkok","IMT-GT adalah satu inisiatif kerjasama untuk mempercepatkan pembangunan ekonomi di kawasan sempadan ketiga-tiga negara."
